Tm,W,L,T,W-L,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year
ARI,4,13,0,0.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7,2023
ARI,4,13,0,0.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3,2022
ARI,11,6,0,0.647,449,366,83,4.9,0.3,5.2,3.6,1.6,2021
ARI,8,8,0,0.5,410,367,43,2.7,-0.1,2.6,1.5,1,2020
ARI,5,10,1,0.344,361,442,-81,-5.1,1.8,-3.2,-0.3,-2.9,2019
ARI,3,13,0,0.188,225,425,-200,-12.5,1,-11.5,-9.6,-1.9,2018
ARI,8,8,0,0.5,295,361,-66,-4.1,0.4,-3.7,-4,0.2,2017
ARI,7,8,1,0.469,418,362,56,3.5,-1.9,1.6,2.4,-0.8,2016
ARI,13,3,0,0.813,489,313,176,11,1.3,12.3,9,3.4,2015
ARI,11,5,0,0.688,310,299,11,0.7,1.3,2,-2.4,4.4,2014
ARI,10,6,0,0.625,379,324,55,3.4,3,6.4,2.7,3.7,2013
ARI,5,11,0,0.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6,2012
ARI,8,8,0,0.5,312,348,-36,-2.3,0,-2.2,-1.7,-0.5,2011
ARI,5,11,0,0.313,289,434,-145,-9.1,-3.6,-12.7,-5.6,-7.1,2010
ARI,10,6,0,0.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,2009
ARI,9,7,0,0.563,427,426,1,0.1,-1.9,-1.9,4.1,-6,2008
ARI,8,8,0,0.5,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,2007
ARI,5,11,0,0.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3,2006
ARI,5,11,0,0.313,311,387,-76,-4.8,-0.2,-5,-2,-3,2005
ARI,6,10,0,0.375,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,2004
ARI,4,12,0,0.25,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2,2003
ARI,5,11,0,0.313,262,417,-155,-9.7,-0.2,-9.9,-5.4,-4.5,2002
ATL,7,10,0,0.412,321,373,-52,-3.1,-1.9,-5,-3.6,-1.4,2023
ATL,7,10,0,0.412,365,386,-21,-1.2,-0.9,-2.1,-0.1,-2,2022
ATL,7,10,0,0.412,313,459,-146,-8.6,0.1,-8.5,-4.2,-4.3,2021
ATL,4,12,0,0.25,396,414,-18,-1.1,1.9,0.7,-0.1,0.8,2020
ATL,7,9,0,0.438,381,399,-18,-1.1,1.1,-0.1,0.3,-0.4,2019
ATL,7,9,0,0.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,2018
ATL,10,6,0,0.625,353,315,38,2.4,1.9,4.3,1.1,3.2,2017
ATL,11,5,0,0.688,540,406,134,8.4,0.1,8.5,10.5,-2,2016
ATL,8,8,0,0.5,339,345,-6,-0.4,-3.4,-3.8,-4,0.3,2015
ATL,6,10,0,0.375,381,417,-36,-2.3,-1.6,-3.8,0.6,-4.4,2014
ATL,4,12,0,0.25,353,443,-90,-5.6,2.9,-2.8,1.2,-3.9,2013
ATL,13,3,0,0.813,419,299,120,7.5,-1.1,6.4,2,4.5,2012
ATL,10,6,0,0.625,402,350,52,3.3,0.3,3.5,1.8,1.7,2011
ATL,13,3,0,0.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,2010
ATL,9,7,0,0.563,363,325,38,2.4,2.7,5,2.7,2.3,2009
ATL,11,5,0,0.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,2008
ATL,4,12,0,0.25,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,2007
ATL,7,9,0,0.438,292,328,-36,-2.3,-0.8,-3,-2.8,-0.2,2006
ATL,8,8,0,0.5,351,341,10,0.6,-1.9,-1.2,1.1,-2.3,2005
ATL,11,5,0,0.688,340,337,3,0.2,-2.4,-2.2,-1.8,-0.4,2004
ATL,5,11,0,0.313,299,422,-123,-7.7,0.3,-7.4,-2,-5.4,2003
ATL,9,6,1,0.594,402,314,88,5.5,-0.4,5.1,3.5,1.5,2002
BAL,13,4,0,0.765,483,280,203,11.9,1.2,13.2,6.7,6.5,2023
BAL,10,7,0,0.588,350,315,35,2.1,1.1,3.1,-0.2,3.4,2022
BAL,8,9,0,0.471,387,392,-5,-0.3,0,-0.3,-0.3,0,2021
BAL,11,5,0,0.688,468,303,165,10.3,-2,8.3,3.9,4.3,2020
BAL,14,2,0,0.875,531,282,249,15.6,0.1,15.6,11,4.7,2019
BAL,10,6,0,0.625,389,287,102,6.4,0.6,7,0.6,6.4,2018
BAL,9,7,0,0.563,395,303,92,5.8,-2.4,3.4,2.2,1.2,2017
BAL,8,8,0,0.5,343,321,22,1.4,0.2,1.5,-1.1,2.6,2016
BAL,5,11,0,0.313,328,401,-73,-4.6,2.6,-1.9,-0.7,-1.2,2015
BAL,10,6,0,0.625,409,302,107,6.7,-2.1,4.6,1.8,2.8,2014
BAL,8,8,0,0.5,320,352,-32,-2,-1.5,-3.5,-5,1.4,2013
BAL,10,6,0,0.625,398,344,54,3.4,-0.5,2.9,1.9,1,2012
BAL,12,4,0,0.75,378,266,112,7,-0.9,6.1,2.6,3.5,2011
BAL,12,4,0,0.75,357,270,87,5.4,1,6.4,0.9,5.5,2010
BAL,9,7,0,0.563,391,261,130,8.1,-0.7,7.5,2.6,4.9,2009
BAL,11,5,0,0.688,385,244,141,8.8,1,9.8,4.2,5.6,2008
BAL,5,11,0,0.313,275,384,-109,-6.8,0.1,-6.7,-5,-1.8,2007
BAL,13,3,0,0.813,353,201,152,9.5,-0.2,9.3,1.5,7.8,2006
BAL,6,10,0,0.375,265,299,-34,-2.1,0.3,-1.8,-3.5,1.7,2005
BAL,9,7,0,0.563,317,268,49,3.1,3.1,6.1,-0.6,6.8,2004
BAL,10,6,0,0.625,391,281,110,6.9,-0.6,6.3,3.3,3,2003
BAL,7,9,0,0.438,316,354,-38,-2.4,0.3,-2.1,-1.5,-0.6,2002
BUF,11,6,0,0.647,451,311,140,8.2,-1.8,6.5,4.1,2.3,2023
BUF,13,3,0,0.813,455,286,169,10.6,0.4,10.9,7.1,3.8,2022
BUF,11,6,0,0.647,483,289,194,11.4,-1.6,9.8,5,4.8,2021
BUF,13,3,0,0.813,501,375,126,7.9,-0.2,7.7,7.1,0.6,2020
BUF,10,6,0,0.625,314,259,55,3.4,-1.3,2.2,-3.5,5.7,2019
BUF,6,10,0,0.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,2018
BUF,9,7,0,0.563,302,359,-57,-3.6,-0.5,-4,-3,-1,2017
BUF,7,9,0,0.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,2016
BUF,8,8,0,0.5,379,359,20,1.3,-1.2,0,0.3,-0.2,2015
BUF,9,7,0,0.563,343,289,54,3.4,1.6,4.9,-0.4,5.3,2014
